id,state
CA00110G8G8,BC
CA00110GQPB,BC
CA00110H447,BC
CA00110H488,BC
CA00110HD45,BC
CA00110HD4N,BC
CA00110HM5C,BC
CA00110MR02,BC
CA00110N666,BC
CA00110N6F5,BC
CA00110N6FF,BC
CA00110NFEQ,BC
CA00110NFNF,BC
CA00110S001,BC
CA001110350,BC
CA001110352,BC
CA00111090M,BC
CA001110Q78,BC
CA001110R04,BC
CA001112625,BC
CA001113072,BC
CA001113420,BC
CA001113539,BC
CA001113540,BC
CA001113541,BC
CA001113542,BC
CA001113543,BC
CA001113545,BC
CA001113550,BC
CA001113570,BC
CA001113580,BC
CA001113581,BC
CA001114435,BC
CA001114474,BC
CA001114619,BC
CA001114620,BC
CA001114621,BC
CA001114622,BC
CA001114623,BC
CA001114626,BC
CA001114627,BC
CA0011146K0,BC
CA001114739,BC
CA001114740,BC
CA001114741,BC
CA001114742,BC
CA001114743,BC
CA001114745,BC
CA001114746,BC
CA001115196,BC
CA001116060,BC
CA001116062,BC
CA001116084,BC
CA001116204,BC
CA001117215,BC
CA001117410,BC
CA001118235,BC
CA001119002,BC
CA00111KFLR,BC
CA001120090,BC
CA001120447,BC
CA001120475,BC
CA001120486,BC
CA001120630,BC
CA001120633,BC
CA001120M47,BC
CA001121090,BC
CA001121459,BC
CA001121620,BC
CA001122541,BC
CA001123195,BC
CA001123280,BC
CA001123360,BC
CA001123370,BC
CA001123390,BC
CA001123468,BC
CA001123469,BC
CA001123721,BC
CA001123750,BC
CA001123930,BC
CA001123939,BC
CA001123965,BC
CA001123970,BC
CA001123972,BC
CA001123975,BC
CA001123977,BC
CA001123980,BC
CA001123981,BC
CA001123982,BC
CA001123984,BC
CA001123990,BC
CA001123992,BC
CA001123993,BC
CA0011239R0,BC
CA001124110,BC
CA001124112,BC
CA001124118,BC
CA001124260,BC
CA001124460,BC
CA001124668,BC
CA001124860,BC
CA001124890,BC
CA001124980,BC
CA001125060,BC
CA001125070,BC
CA001125073,BC
CA001125075,BC
CA001125079,BC
CA001125223,BC
CA001125380,BC
CA001125381,BC
CA001125570,BC
CA001125585,BC
CA001125586,BC
CA001125590,BC
CA001125700,BC
CA001125701,BC
CA001125703,BC
CA001125707,BC
CA001125712,BC
CA001125760,BC
CA001125765,BC
CA001125766,BC
CA001125779,BC
CA0011257FN,BC
CA001125850,BC
CA001125852,BC
CA001125855,BC
CA001125865,BC
CA001125880,BC
CA001125907,BC
CA001125G0A,BC
CA001126070,BC
CA001126071,BC
CA001126077,BC
CA001126078,BC
CA001126079,BC
CA001126080,BC
CA001126135,BC
CA001126145,BC
CA001126146,BC
CA001126150,BC
CA001126160,BC
CA001126505,BC
CA001126510,BC
CA001126514,BC
CA001126915,BC
CA001127358,BC
CA001127360,BC
CA001127798,BC
CA001127800,BC
CA001127830,BC
CA001128550,BC
CA001128551,BC
CA001128553,BC
CA001128554,BC
CA001128580,BC
CA001128581,BC
CA001128582,BC
CA001128583,BC
CA001128584,BC
CA001128585,BC
CA001128586,BC
CA001128758,BC
CA001128759,BC
CA001128958,BC
CA001128959,BC
CA001128983,BC
CA00112C991,BC
CA00112E700,BC
CA00112FN0M,BC
CA00112G8L1,BC
CA00112HEHD,BC
CA00112K653,BC
CA001130770,BC
CA001130771,BC
CA001130874,BC
CA001130875,BC
CA001130975,BC
CA001131410,BC
CA001131615,BC
CA001133270,BC
CA001133271,BC
CA001133274,BC
CA001133275,BC
CA001133300,BC
CA001134130,BC
CA001134735,BC
CA001135126,BC
CA001136812,BC
CA001136813,BC
CA001136815,BC
CA001140448,BC
CA001140876,BC
CA001140877,BC
CA001140903,BC
CA001140905,BC
CA001141450,BC
CA001141455,BC
CA001141457,BC
CA001141463,BC
CA001141800,BC
CA001141803,BC
CA001142112,BC
CA001142130,BC
CA001142160,BC
CA001142161,BC
CA001142164,BC
CA001142400,BC
CA001142574,BC
CA001142640,BC
CA001142820,BC
CA001142826,BC
CA001142845,BC
CA001143085,BC
CA001143120,BC
CA001143338,BC
CA001143617,BC
CA001143900,BC
CA001144230,BC
CA001144388,BC
CA001144413,BC
CA001144580,BC
CA001144582,BC
CA001144635,BC
CA001145297,BC
CA001145300,BC
CA001145303,BC
CA001145419,BC
CA001145420,BC
CA001145430,BC
CA001145442,BC
CA001145443,BC
CA001145444,BC
CA001145445,BC
CA001145446,BC
CA001145460,BC
CA001145730,BC
CA001145M29,BC
CA001146000,BC
CA001146168,BC
CA001146810,BC
CA001146870,BC
CA001146874,BC
CA001146944,BC
CA001147020,BC
CA001147620,BC
CA001147622,BC
CA001147995,BC
CA001148212,BC
CA001148262,BC
CA001148670,BC
CA001148700,BC
CA001148705,BC
CA001148790,BC
CA001148957,BC
CA001149000,BC
CA001149001,BC
CA00114B1F0,BC
CA00114EMDM,BC
CA00114Q3C9,BC
CA00114R006,BC
CA00114R00A,BC
CA001150060,BC
CA001150690,BC
CA001151288,BC
CA001151290,BC
CA001151915,BC
CA001152090,BC
CA001152100,BC
CA001152102,BC
CA001152103,BC
CA001152104,BC
CA001152105,BC
CA001152109,BC
CA001152653,BC
CA001152670,BC
CA001152850,BC
CA001152852,BC
CA001152898,BC
CA001152899,BC
CA001152J02,BC
CA001153033,BC
CA001153034,BC
CA001153282,BC
CA001153335,BC
CA001153655,BC
CA001153656,BC
CA001154195,BC
CA001154200,BC
CA001154201,BC
CA001154202,BC
CA001154203,BC
CA001154395,BC
CA001154400,BC
CA001154402,BC
CA001154405,BC
CA001154410,BC
CA001154909,BC
CA001155236,BC
CA001155401,BC
CA001155402,BC
CA001155403,BC
CA001155490,BC
CA001157380,BC
CA001157630,BC
CA001157631,BC
CA001158200,BC
CA001158692,BC
CA001158730,BC
CA001158917,BC
CA001158990,BC
CA00115D202,BC
CA00115H9NP,BC
CA00115HR57,BC
CA001160075,BC
CA001160450,BC
CA001160483,BC
CA001160485,BC
CA001160510,BC
CA001160511,BC
CA001160515,BC
CA001160520,BC
CA001160540,BC
CA001160546,BC
CA001160565,BC
CA001160670,BC
CA001160673,BC
CA001160899,BC
CA001160900,BC
CA001160985,BC
CA001160986,BC
CA001160H99,BC
CA001161104,BC
CA001161215,BC
CA001161306,BC
CA001161312,BC
CA00116146F,BC
CA001161470,BC
CA001161506,BC
CA001161590,BC
CA001161592,BC
CA001161655,BC
CA001161660,BC
CA001161661,BC
CA001161F55,BC
CA001161FN5,BC
CA001162177,BC
CA001162265,BC
CA001162580,BC
CA001162680,BC
CA001162682,BC
CA001162683,BC
CA001162784,BC
CA001162785,BC
CA001163306,BC
CA001163340,BC
CA001163400,BC
CA001163450,BC
CA001163465,BC
CA001163466,BC
CA001163467,BC
CA001163595,BC
CA001163596,BC
CA001163779,BC
CA001163780,BC
CA001163790,BC
CA001163810,BC
CA001163814,BC
CA001163815,BC
CA001163817,BC
CA001163826,BC
CA001163840,BC
CA001163842,BC
CA001163873,BC
CA001163875,BC
CA001164380,BC
CA001164381,BC
CA001164384,BC
CA001164445,BC
CA001164636,BC
CA0011646L6,BC
CA001164715,BC
CA001164717,BC
CA001164720,BC
CA001164729,BC
CA001164730,BC
CA001164770,BC
CA001164830,BC
CA001164903,BC
CA001164G1E,BC
CA001164GA5,BC
CA001164LH5,BC
CA001165030,BC
CA001165197,BC
CA001165198,BC
CA001165210,BC
CA001165224,BC
CA001165225,BC
CA001165791,BC
CA001165793,BC
CA001166527,BC
CA001166658,BC
CA001166659,BC
CA001166760,BC
CA001166912,BC
CA001166945,BC
CA001166946,BC
CA001166947,BC
CA001166JFR,BC
CA001166R45,BC
CA001167008,BC
CA001167150,BC
CA001167191,BC
CA001167193,BC
CA001167194,BC
CA001167260,BC
